Game ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Single Player/ Multi Player,Download Size,Viewership (Thousands),Online/Offline,In game purchase,Price,Countries,In game voice/chat
2002VC,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,Polyphony Digital,E,Single Player,931,54,Online,Yes,43,96,No
8385KK,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,SquareSoft,T,Single Player,1458,39,Online,No,69,90,No
9539QP,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85,13,,,Core Design Ltd.,T,Single Player,7134,104,Offline,No,66,24,No
1698CR,Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0,0.09,0,4.12,96,24,9.1,3161,Valve Software,M,Single Player,28582,92,Offline,No,62,3,No
4757KF,Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45,83,12,8.2,190,SquareSoft,T,Single Player,1537,67,Online,No,62,13,No
1903RU,Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,87,14,8.8,45,Acquire,M,Single Player,27856,78,Online,No,69,22,No
5025FX,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,93,12,9.4,358,Konami,T,Single Player,496,20,Online,No,65,28,No
4594UY,Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,83,13,7.9,16,Light Weight,T,Single Player,25694,154,Offline,Yes,48,17,No
2519XI,Monster Rancher,PS,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,86,5,8.3,10,Tecmo,,Single Player,515,132,Online,No,65,19,No
2103HQ,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83,10,8.2,22,Namco,T,Single Player,901,108,Online,No,64,11,No
