STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs

ANDHRA PRADESH,ADILABAD,2001,0,1,4,0,0,0,3,0,15,32

ANDHRA PRADESH,ANANTAPUR,2001,0,4,0,0,0,0,49,21,0,53

ANDHRA PRADESH,CHITTOOR,2001,3,3,0,0,0,0,38,36,0,34

ANDHRA PRADESH,CUDDAPAH,2001,0,3,0,0,0,0,20,52,0,25

ANDHRA PRADESH,EAST GODAVARI,2001,1,3,0,0,0,0,3,12,63,7

ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,0,0,0,0,0,0,0

ANDHRA PRADESH,GUNTUR,2001,4,5,1,0,0,3,53,16,6,53

ANDHRA PRADESH,HYDERABAD CITY,2001,0,2,1,0,0,0,0,40,1,35

ANDHRA PRADESH,KARIMNAGAR,2001,8,1,3,3,1,0,52,72,6,10

ANDHRA PRADESH,KHAMMAM,2001,2,6,0,0,0,0,12,51,0,90

ANDHRA PRADESH,KRISHNA,2001,1,2,4,0,0,0,13,98,79,82

ANDHRA PRADESH,KURNOOL,2001,4,5,0,0,0,0,42,119,0,32

ANDHRA PRADESH,MAHABOOBNAGAR,2001,10,8,0,0,0,0,9,79,25,90

ANDHRA PRADESH,MEDAK,2001,4,2,0,0,0,0,1,27,1,26

ANDHRA PRADESH,NALGONDA,2001,1,1,0,0,0,0,3,34,1,3

ANDHRA PRADESH,NELLORE,2001,0,4,3,0,0,1,6,31,0,29

ANDHRA PRADESH,NIZAMABAD,2001,0,2,3,0,0,0,9,9,0,23

ANDHRA PRADESH,PRAKASHAM,2001,1,0,0,0,0,0,28,52,4,29

ANDHRA PRADESH,RANGA REDDY,2001,2,7,0,0,0,0,8,83,4,93

ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,0,0,0,0,0,0,0,0

ANDHRA PRADESH,SRIKAKULAM,2001,1,1,0,0,0,0,2,24,11,5

ANDHRA PRADESH,VIJAYAWADA,2001,1,3,3,0,1,2,146,4,14,97

ANDHRA PRADESH,VIJAYAWADA RLY.,2001,0,0,0,0,0,0,0,1,0,1

ANDHRA PRADESH,VISAKHA RURAL,2001,0,0,0,0,0,0,5,8,43,46

ANDHRA PRADESH,VISAKHAPATNAM,2001,0,0,0,0,0,0,2,14,3,6

ANDHRA PRADESH,VIZIANAGARAM,2001,2,2,0,0,0,0,0,2,17,21

ANDHRA PRADESH,WARANGAL,2001,0,3,0,0,0,0,7,22,9,57

ANDHRA PRADESH,WEST GODAVARI,2001,0,1,0,0,0,0,7,43,10,27

ANDHRA PRADESH,TOTAL,2001,45,69,22,3,2,6,518,950,312,1006

ARUNACHAL PRADESH,CHANGLANG,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,DIBANG VALLEY,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,KAMENG EAST,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,KAMENG WEST,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,LOHIT,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,PAPUM PARE,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,SIANG EAST,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,SIANG UPPER,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,SIANG WEST,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,TAWANG,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,TIRAP,2001,0,0,0,0,0,0,0,0,0,0

ARUNACHAL PRADESH,TOTAL,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,BARPETA,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,BONGAIGAON,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,C.I.D.,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,CACHAR,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,DARRANG,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,DHEMAJI,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,DHUBRI,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,DIBRUGARH,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,G.R.P.,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,GOALPARA,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,GOLAGHAT,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,GUWAHATI CITY,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,HAILAKANDI,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,JORHAT,2001,0,0,0,0,1,0,4,0,0,0

ASSAM,KAMRUP,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,KARBI ANGLONG,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,KARIMGANJ,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,KOKRAJHAR,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,LAKHIMPUR,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,MORIGAON,2001,0,0,0,0,0,0,0,1,0,0

ASSAM,N.C. HILLS,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,NAGAON,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,NALBARI,2001,0,0,0,0,0,1,0,0,0,0

ASSAM,R.P.O.,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,SIBSAGAR,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,SONITPUR,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,TINSUKIA,2001,0,0,0,0,0,0,0,0,0,0

ASSAM,TOTAL,2001,0,0,0,0,1,1,4,0,0,0

BIHAR,ARARIA,2001,1,9,2,0,0,0,2,5,0,24

BIHAR,ARWAL,2001,0,0,0,0,0,1,0,3,0,2

BIHAR,AURANGABAD,2001,1,0,0,1,0,0,10,13,0,0

BIHAR,BAGAHA,2001,0,0,0,0,0,0,35,0,20,0

BIHAR,BANKA,2001,0,0,0,0,0,0,0,0,0,0

BIHAR,BEGUSARAI,2001,0,0,0,0,0,0,0,38,7,27

BIHAR,BETTIAH,2001,8,3,0,0,0,0,0,9,0,9

BIHAR,BHABHUA,2001,2,0,0,1,1,1,29,3,0,0

BIHAR,BHAGALPUR,2001,1,0,0,0,0,0,0,25,0,14

BIHAR,BHOJPUR,2001,0,0,1,0,0,1,5,16,0,9

BIHAR,BUXAR,2001,0,0,0,0,0,0,17,17,0,0

BIHAR,DARBHANGA,2001,0,0,0,0,0,0,0,29,0,0

BIHAR,GAYA,2001,0,0,0,0,0,0,28,28,0,0

BIHAR,GOPALGANJ,2001,0,0,0,0,0,2,9,14,0,3

BIHAR,JAMALPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0

BIHAR,JAMUI,2001,0,0,0,0,0,0,0,0,0,0

BIHAR,JEHANABAD,2001,0,0,0,0,0,0,0,0,0,0

BIHAR,KATIHAR,2001,0,0,0,0,0,0,4,4,0,0

BIHAR,KATIHAR RLY.,2001,0,0,0,0,0,0,0,1,0,0

BIHAR,KHAGARIA,2001,1,0,0,0,0,0,3,17,0,13

