City,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description
New Delhi,01-04-2021,34,19,27.1,31.6,19,26.1,3.1,22.6,22.8,272.9,1002.8,0,3.1,01-04-2021 06:11,01-04-2021 18:39,0.6,Clear,Clear conditions throughout the day.
New Delhi,02-04-2021,33.9,16,25.8,31.8,16,24.9,4.5,27.62,12.4,275,1006.2,0,3.5,02-04-2021 06:10,02-04-2021 18:39,0.65,Clear,Clear conditions throughout the day.
New Delhi,03-04-2021,34.8,14.6,26,32.2,14.6,25.1,1.3,23.18,16.5,127.5,1008.8,1.4,3.5,03-04-2021 06:08,03-04-2021 18:40,0.7,Clear,Clear conditions throughout the day.
New Delhi,04-04-2021,36.8,16.9,27.1,34.2,16.9,26,4.8,28,18.3,157.6,1009.5,2.6,3.2,04-04-2021 06:07,04-04-2021 18:40,0.76,Clear,Clear conditions throughout the day.
New Delhi,05-04-2021,38.8,21,29.9,37.1,21,28.9,8.1,28.85,13.5,100.4,1007.8,38.4,3.1,05-04-2021 06:06,05-04-2021 18:41,0.81,Partially cloudy,Partly cloudy throughout the day.
New Delhi,06-04-2021,38,22.6,30.4,37.2,22.6,29.5,10.2,30.51,14.8,102,1006.2,30.7,2.4,06-04-2021 06:05,06-04-2021 18:41,0.86,Partially cloudy,Partly cloudy throughout the day.
New Delhi,07-04-2021,36,23.4,29.6,34.6,23.4,28.7,9.7,31.69,18.4,220.8,1009,24.1,2.7,07-04-2021 06:04,07-04-2021 18:42,0.91,Partially cloudy,Partly cloudy throughout the day.
New Delhi,08-04-2021,34.9,20.9,27.6,32.6,20.9,26.7,4.4,26.47,15.9,259.7,1009.1,0,3.2,08-04-2021 06:03,08-04-2021 18:43,0.94,Clear,Clear conditions throughout the day.
New Delhi,09-04-2021,36.2,17.1,27.7,33.7,17.1,26.6,3.6,25.64,18.4,188.2,1009.8,6.3,3.4,09-04-2021 06:02,09-04-2021 18:43,0.97,Clear,Clear conditions throughout the day.
New Delhi,10-04-2021,36.9,19.4,28.9,34.7,19.4,27.8,3.8,23.01,16.6,184.3,1011.2,0,3.4,10-04-2021 06:01,10-04-2021 18:44,0.99,Clear,Clear conditions throughout the day.
New Delhi,11-04-2021,38.5,19.7,29.4,36.1,19.7,28.1,4.2,23.98,18.4,231,1011.1,0,3.2,11-04-2021 06:00,11-04-2021 18:44,1,Clear,Clear conditions throughout the day.
New Delhi,12-04-2021,38.7,20.8,29.8,37.1,20.8,28.7,7.5,28.16,18.4,199.9,1011.5,0,2.4,12-04-2021 05:58,12-04-2021 18:45,0,Clear,Clear conditions throughout the day.
New Delhi,13-04-2021,39.4,21,30.4,37.7,21,29.3,8.3,28.58,18.4,192.6,1010,0,2.8,13-04-2021 05:57,13-04-2021 18:45,0.01,Clear,Clear conditions throughout the day.
New Delhi,14-04-2021,39.6,22.7,31.5,38.8,22.7,30.2,7.6,25.09,18.4,247.4,1008.7,16.1,3.3,14-04-2021 05:56,14-04-2021 18:46,0.03,Clear,Clear conditions throughout the day.
New Delhi,15-04-2021,40.1,24,31.3,38.7,24,29.9,6.6,24.05,19.6,221.3,1007.5,36.2,2.9,15-04-2021 05:55,15-04-2021 18:47,0.05,Partially cloudy,Partly cloudy throughout the day.
