Date,Diesel (USD),difference,Number of Records,Petrol (USD)
09-06-2003,76.773394,2.18311,1,74.590284
16-06-2003,76.689054,2.219911,1,74.469143
23-06-2003,76.620546,2.196980000,1,74.423566
30-06-2003,76.50526,2.152839,1,74.352421
07-07-2003,76.457376,2.173639000,1,74.283737
14-07-2003,76.40812,2.201543,1,74.206577
21-07-2003,76.899144,1.833904,1,75.06524
28-07-2003,76.861864,1.761009000,1,75.100855
04-08-2003,76.812342,1.687958000,1,75.124384
11-08-2003,77.080738,1.636222000,1,75.444516
18-08-2003,77.43859,1.629642000,1,75.808948
26-08-2003,77.675094,1.622083,1,76.053011
01-09-2003,77.587704,1.461844000,1,76.12586
08-09-2003,77.67014,1.44395,1,76.22619
15-09-2003,77.626436,1.430011000,1,76.196425
22-09-2003,77.545842,1.397133,1,76.148709
29-09-2003,77.526894,1.442904,1,76.08399
06-10-2003,77.661236,1.228303,1,76.432933
13-10-2003,77.426488,1.52896,1,75.897528
20-10-2003,77.544714,1.496654000,1,76.04806
27-10-2003,77.510978,1.515518,1,75.99546
03-11-2003,77.519974,1.523715,1,75.996259
10-11-2003,77.469868,1.527038000,1,75.94283
17-11-2003,77.517624,1.590781000,1,75.926843
24-11-2003,77.670648,1.655550000,1,76.015098
01-12-2003,77.657072,1.661796,1,75.995276
08-12-2003,77.628804,1.658238000,1,75.970566
15-12-2003,77.619338,1.660275,1,75.959063
22-12-2003,77.613818,1.691182000,1,75.922636
29-12-2003,77.600882,1.661183000,1,75.939699
05-01-2004,77.535648,1.658873000,1,75.876775
12-01-2004,77.542542,1.644326000,1,75.898216
19-01-2004,78.055918,1.694987000,1,76.360931
26-01-2004,78.07987,1.639391,1,76.440479
02-02-2004,78.125574,1.641071000,1,76.484503
09-02-2004,77.981782,1.480263000,1,76.501519
16-02-2004,77.996952,1.556443,1,76.440509
23-02-2004,77.92896,1.547912000,1,76.381048
01-03-2004,77.869356,1.545164000,1,76.324192
08-03-2004,78.254358,1.521289,1,76.733069
15-03-2004,78.797116,1.408644000,1,77.388472
22-03-2004,78.924886,1.484838,1,77.440048
29-03-2004,79.013482,1.422866000,1,77.590616
05-04-2004,79.232033,1.376511000,1,77.855522
12-04-2004,79.270281,1.386157,1,77.884124
