,Name,Type,Score,Score Rank,Popularity Rank,Air Date,Studio,Num. of episodes,Genres,Theme(s),Demographic
0,Fullmetal Alchemist: Brotherhood,TV,9.14,1,3,"Apr 5, 2009 to Jul 4, 2010",['Bones'],64,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],Shounen
1,Spy x Family,TV,9.09,2,350,"Apr 9, 2022 to ?","['Wit Studio', '            CloverWorks']",12,"['Action', 'Comedy']",['Childcare'],Shounen
2,Shingeki no Kyojin Season 3 Part 2,TV,9.08,3,32,"Apr 29, 2019 to Jul 1, 2019",['Wit Studio'],10,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
3,Steins;Gate,TV,9.08,4,13,"Apr 6, 2011 to Sep 14, 2011",['White Fox'],24,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",None
4,Gintama°,TV,9.08,5,335,"Apr 8, 2015 to Mar 30, 2016",['Bandai Namco Pictures'],51,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
5,Gintama',TV,9.05,6,385,"Apr 4, 2011 to Mar 26, 2012",['Sunrise'],51,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
6,Gintama: The Final,Movie,9.05,7,1746,"Jan 8, 2021",['Bandai Namco Pictures'],1,"['Action', 'Comedy', 'Drama', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
7,Hunter x Hunter (2011),TV,9.05,8,10,"Oct 2, 2011 to Sep 24, 2014",['Madhouse'],148,"['Action', 'Adventure', 'Fantasy']",['None'],Shounen
8,Fruits Basket: The Final,TV,9.04,9,551,"Apr 6, 2021 to Jun 29, 2021",['TMS Entertainment'],13,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",['None'],Shoujo
9,Gintama': Enchousen,TV,9.04,10,695,"Oct 4, 2012 to Mar 28, 2013",['Sunrise'],13,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
