,Daily_Time_Spent_on_Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
0,68.95,35.0,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,Female,Tunisia,27-03-2016 00:53,0
1,68.37,31.0,68441.85,193.77,Monitored national standardization,West Jodi,Male,Nauru,04-04-2016 01:39,0
2,69.47,26.0,59785.94,236.5,Organic bottom-line service-desk,Davidton,Female,San Marino,13-03-2016 20:35,0
3,74.15,29.0,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,Male,Italy,10-01-2016 02:31,0
4,68.37,35.0,73889.99,225.58,Robust logistical utilization,South Manuel,Female,Iceland,03-06-2016 03:36,0
5,59.99,23.0,59761.56,226.74,Sharable client-driven software,Williamsport,Male,Norway,19-05-2016 14:30,0
6,88.91,33.0,53852.85,208.36,Enhanced dedicated support,Brandonstad,Female,Myanmar,28-01-2016 20:59,0
7,68.37,48.0,24593.33,131.76,Reactive local challenge,Port Jefferybury,Male,Australia,07-03-2016 01:40,1
8,74.53,30.0,54958.57,221.51,Configurable coherent function,West Colin,Male,Grenada,18-04-2016 09:33,0
9,69.88,20.0,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,Male,Ghana,11-07-2016 01:42,0
10,47.64,49.0,45632.51,122.02,Centralized neutral neural-net,West Brandonton,Female,Qatar,16-03-2016 20:19,1
11,83.07,37.0,62491.01,230.87,Team-oriented grid-enabled Local Area Network,Williamsport,Male,Burundi,08-05-2016 08:10,0
12,69.57,48.0,51636.92,113.12,Centralized content-based focus group,West Katiefurt,Male,Egypt,03-06-2016 01:14,1
13,79.52,24.0,51739.63,214.23,Synergistic fresh-thinking array,North Tara,Female,Bosnia and Herzegovina,20-04-2016 21:49,0
14,42.95,33.0,30976.0,143.56,Grass-roots coherent extranet,West William,Female,Barbados,24-03-2016 09:31,1
15,63.45,23.0,52182.23,140.64,Persistent demand-driven interface,New Travistown,Male,Spain,09-03-2016 03:41,1
16,55.39,37.0,23936.86,129.41,Customizable multi-tasking website,Williamsport,Female,Palestinian Territory,30-01-2016 19:20,1
17,82.03,41.0,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,Female,Afghanistan,02-05-2016 07:00,0
18,54.7,36.0,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,Male,British Indian Ocean Territory (Chagos Archipelago),13-02-2016 07:53,1
19,74.58,40.0,54958.57,135.51,Advanced 24/7 productivity,Millertown,Male,Russian Federation,27-02-2016 04:43,1
20,77.22,30.0,64802.33,224.44,Object-based reciprocal knowledgebase,Williamsport,Male,Cameroon,05-01-2016 07:52,0
21,84.59,35.0,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,Male,Cameroon,18-03-2016 13:22,0
22,41.49,52.0,32635.7,164.83,Mandatory disintermediate utilization,South John,Female,Burundi,20-05-2016 08:49,1
23,87.29,36.0,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,Male,Korea,23-03-2016 09:43,0
24,41.39,41.0,68962.32,167.22,Exclusive neutral parallelism,Harperborough,Female,Tokelau,13-06-2016 17:27,1
25,78.74,28.0,64828.0,204.79,Public-key foreground groupware,Port Danielleberg,Male,Monaco,27-05-2016 15:25,0
26,48.53,28.0,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,Male,Tuvalu,08-02-2016 10:46,1
27,51.95,52.0,58295.82,129.23,Monitored systematic hierarchy,South Cathyfurt,Female,Greece,19-07-2016 08:32,1
28,70.2,34.0,32708.94,119.2,Open-architected impactful productivity,Palmerside,Female,British Virgin Islands,14-04-2016 05:08,1
29,76.02,22.0,46179.97,209.82,Business-focused value-added definition,West Guybury,Female,Bouvet Island (Bouvetoya),27-01-2016 12:38,0
30,67.64,35.0,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,Male,Peru,02-07-2016 20:23,0
31,86.41,28.0,45593.93,207.48,Digitized static capability,Lake Melindamouth,Male,Aruba,01-03-2016 22:13,0
32,59.05,57.0,25583.29,169.23,Digitized global capability,Williamsport,Male,Maldives,15-07-2016 05:05,1
33,55.6,23.0,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,Female,Senegal,14-01-2016 14:00,1
34,57.64,57.0,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,Male,Dominica,15-03-2016 03:12,1
35,84.37,30.0,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,Female,Luxembourg,12-04-2016 03:26,0
36,62.26,53.0,56770.79,125.45,Profound stable product,West Aprilport,Male,Montenegro,07-04-2016 15:18,1
37,65.82,39.0,76435.3,221.94,Reactive demand-driven capacity,Kellytown,Female,Ukraine,09-02-2016 05:28,0
38,50.43,46.0,57425.87,119.32,Persevering needs-based open architecture,Charlesport,Male,Saint Helena,07-05-2016 17:11,1
39,38.93,39.0,27508.41,162.08,Intuitive exuding service-desk,Millerchester,Female,Liberia,11-03-2016 06:49,1
40,84.98,29.0,54958.57,202.61,Innovative user-facing extranet,Mackenziemouth,Female,Russian Federation,27-04-2016 09:27,0
41,64.24,30.0,59784.18,252.36,Front-line intermediate database,Zacharystad,Female,Tunisia,16-04-2016 11:53,0
42,82.52,32.0,66572.39,198.11,Persevering exuding system engine,North Joshua,Male,Czech Republic,08-05-2016 15:38,0
43,81.38,31.0,64929.61,212.3,Balanced dynamic application,Bowenview,Female,Saint Helena,08-02-2016 00:23,0
44,80.47,25.0,57519.64,204.86,Reduced global support,Jamesberg,Female,Niger,11-02-2016 13:26,0
45,37.68,52.0,53575.48,172.83,Organic leadingedge secured line,Lake Cassandraport,Male,Turkmenistan,17-02-2016 13:16,1
46,69.62,20.0,50983.75,202.25,Business-focused encompassing neural-net,New Sharon,Male,Qatar,26-02-2016 22:46,0
47,85.4,43.0,67058.72,198.72,Triple-buffered demand-driven alliance,Johnport,Female,Sri Lanka,08-06-2016 18:54,0
48,44.33,37.0,54958.57,123.72,Visionary maximized process improvement,Hamiltonfort,Male,Trinidad and Tobago,08-01-2016 09:32,1
49,48.01,46.0,54286.1,119.93,Centralized 24/7 installation,West Christopher,Female,Italy,25-04-2016 11:01,1
50,73.18,23.0,61526.25,196.71,Organized static focus group,Hollandberg,Male,British Virgin Islands,04-04-2016 07:07,0
51,79.94,28.0,58526.04,225.29,Visionary reciprocal circuit,Odomville,Female,United Kingdom,03-05-2016 21:19,0
52,33.33,45.0,53350.11,193.58,Pre-emptive value-added workforce,East Samanthashire,Male,Guinea-Bissau,17-01-2016 09:31,1
