Discription,url,Vendor
"KINGDOM OF WHITE Replay Full Sleeves White Shirt with Regular Collar Casual/Formal Shirt | 100% Cotton Fabric, Full Sleeve, Regular Collar Shirt for Men, Regular Fit",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzM5OTA2OTI3MDI5NTUyOjE2ODQ1NTkwMjY6c3BfYXRmOjIwMTM2Mzc5NzQ3Njk4OjowOjo&url=%2FKINGDOM-WHITE-Replay-Sleeves-Regular%2Fdp%2FB0BMKTBPK5%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3EKVZNS1FCSRP%26keywords%3Dshirt%26qid%3D1684559026%26sprefix%3Dshir%252Caps%252C310%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Amazon
United Colors of Benetton Men Shirt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzM5OTA2OTI3MDI5NTUyOjE2ODQ1NTkwMjY6c3BfYXRmOjIwMTAwOTU1MTA1Nzk4OjowOjo&url=%2FUnited-Colors-Benetton-Checkered-22A5RE07U008I904_Red%2Fdp%2FB0BLNCYRFW%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3EKVZNS1FCSRP%26keywords%3Dshirt%26qid%3D1684559026%26sprefix%3Dshir%252Caps%252C310%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Amazon
"KINGDOM OF WHITE Cloudy Full Sleeves White Kurta with Woven Hoodie Shirt | Cotton Linen Fabric, Full Sleeve, Woven Hoodie Shirt for Men, Regular Fit",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzM5OTA2OTI3MDI5NTUyOjE2ODQ1NTkwMjY6c3BfYXRmOjIwMTIyNDE1MjYwOTk4OjowOjo&url=%2FKINGDOM-WHITE-Cloudie-Sleeves-Regular%2Fdp%2FB0BGQH2JR8%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3EKVZNS1FCSRP%26keywords%3Dshirt%26qid%3D1684559026%26sprefix%3Dshir%252Caps%252C310%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Amazon
United Colors of Benetton Men Shirt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzM5OTA2OTI3MDI5NTUyOjE2ODQ1NTkwMjY6c3BfYXRmOjIwMTAwOTU1MTA0Mjk4OjowOjo&url=%2FUnited-Colors-Benetton-Shirt-22A5BS67U008I901_Multicolour%2Fdp%2FB0BLNC3YGS%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3EKVZNS1FCSRP%26keywords%3Dshirt%26qid%3D1684559026%26sprefix%3Dshir%252Caps%252C310%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Amazon
Dennis Lingo Men's Solid Slim Fit Cotton Casual Shirt with Spread Collar & Full Sleeves,https://www.amazon.in/Dennis-Lingo-Solid-Casual-C301_DUSTYGREEN_M_Dustygreen_M/dp/B07H35HWDX/ref=sr_1_5?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-5,Amazon
U-TURN Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Striped Shirt,https://www.amazon.in/U-TURN-Cotton-Solid-Formal-Medium/dp/B0BT7C1Y86/ref=sr_1_6?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-6,Amazon
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Mistry),https://www.amazon.in/Lymio-Casual-Stylish-Printed-Mistry/dp/B0BRKJFW2G/ref=sr_1_7?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-7,Amazon
The Indian Garage Co Men's Slim Fit Shirt,https://www.amazon.in/Indian-Garage-Co-Shirt-0619-SH04-04/dp/B087S62ZT1/ref=sr_1_8?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-8,Amazon
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Sheded Rose),https://www.amazon.in/Lymio-Casual-Stylish-Printed-Sheded/dp/B0BWS5GCK7/ref=sxin_19_trfob_0_B0BWS5GCK7?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BWS5GCK7&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=ozxnl&pd_rd_wg=AMbk2&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon
Lymio Men Men Shirt,https://www.amazon.in/Lymio-Casual-Stylish-Printed-Geo-Multi-M/dp/B0BWS5FNTN/ref=sxin_19_trfob_1_B0BWS5FNTN?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BWS5FNTN&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=ozxnl&pd_rd_wg=AMbk2&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon
