Discription,url,Vendor
Men Regular Fit Printed Cut Away Collar Casual Shirt,https://www.flipkart.com/qugue-men-printed-casual-white-black-shirt/p/itme7f78f4245c21?pid=SHTGJHQYAZ2MWMMM&lid=LSTSHTGJHQYAZ2MWMMMEMLS8R&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&spotlightTagId=BestsellerId_clo%2Fash%2Faxc&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGJHQYAZ2MWMMM.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Solid Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-solid-casual-green-shirt/p/itmfgmng9uut6jcs?pid=SHTFGM8VMYZM6EQY&lid=LSTSHTFGM8VMYZM6EQY4W4SU2&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFGM8VMYZM6EQY.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Women Slim Fit Graphic Print Mandarin Collar Casual Shirt,https://www.flipkart.com/try-women-graphic-print-casual-black-shirt/p/itmb01a8e8c7a320?pid=SHTGG4WYUZAHHVPA&lid=LSTSHTGG4WYUZAHHVPAVDR2FR&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&spotlightTagId=BestsellerId_clo%2Fash%2Faxc&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGG4WYUZAHHVPA.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Checkered Cut Away Collar Casual Shirt,https://www.flipkart.com/indian-garage-co-men-checkered-casual-grey-shirt/p/itm7df06900a7bfa?pid=SHTGMF9Y3XR59TQS&lid=LSTSHTGMF9Y3XR59TQSVFLPEE&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGMF9Y3XR59TQS.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Checkered Casual Shirt,https://www.flipkart.com/metronaut-flipkart-men-checkered-casual-multicolor-shirt/p/itme2d64a7827aa9?pid=SHTG9AJGYDQHZQ2D&lid=LSTSHTG9AJGYDQHZQ2DE7GUXI&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTG9AJGYDQHZQ2D.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Women Slim Fit Graphic Print Mandarin Collar Casual Shirt,https://www.flipkart.com/try-women-graphic-print-casual-dark-blue-shirt/p/itm8095c51c666c2?pid=SHTGKDC2FCH3J3KR&lid=LSTSHTGKDC2FCH3J3KRZFDCPO&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGKDC2FCH3J3KR.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Checkered Slim Collar Casual Shirt,https://www.flipkart.com/tanip-men-checkered-casual-blue-white-black-shirt/p/itm9ffb5171a3552?pid=SHTGE85EWWDUN2S4&lid=LSTSHTGE85EWWDUN2S4FCH8CA&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGE85EWWDUN2S4.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Solid Mandarin Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-maroon-shirt/p/itm52dbdaf216f45?pid=SHTFXEGUZT7JAGKJ&lid=LSTSHTFXEGUZT7JAGKJS0JEYA&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFXEGUZT7JAGKJ.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-maroon-shirt/p/itmfcf2aa388805a?pid=SHTGH62REHAW8Z9G&lid=LSTSHTGH62REHAW8Z9GV1U7MX&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGH62REHAW8Z9G.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/hanumntra-men-printed-casual-white-shirt/p/itma1b53100befa6?pid=SHTFUQY4XYZ7QFGF&lid=LSTSHTFUQY4XYZ7QFGFG62WWT&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFUQY4XYZ7QFGF.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
