,name ,servin _size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
0,Cornstarch,100,381,0.1,,0,0,0,0,0,0,0,0,0,91.27,0.9,0,0.05
1,"Nuts, pecans",100,691,72,6.2,0,56,3,0,0.21,1.1,1.4,1.4,3.5,13.86,9.6,3.97,71.97
2,"Eggplant, raw",100,25,0.2,,0,23,1,0,0.084,2.2,0.3,0.3,3.5,5.88,3,3.53,0.18
3,"Teff, uncooked",100,367,2.4,0.4,0,9,0,0,0.482,0,0.08,0.08,1.9,73.13,8,1.84,2.38
4,"Sherbet, orange",100,144,2,1.2,1,46,12,0.13,0.023,2.3,0.01,0.01,0,30.4,1.3,24.32,2
5,"Cauliflower, raw",100,25,0.3,0.1,0,0,0,0,0.184,48.2,0.08,0.08,15.5,4.97,2,1.91,0.28
6,"Taro leaves, raw",100,42,0.7,0.2,0,4825,241,0,0.146,52,2.02,2.02,108.6,6.7,3.7,3.01,0.74
7,"Lamb, raw, ground",100,282,23,10,73,0,0,2.31,0.13,0,0.2,0.2,3.6,0,0,0,23.41
8,"Cheese, camembert",100,300,24,15,72,820,241,1.3,0.227,0,0.21,0.21,2,0.46,0,0.46,24.26
9,Vegetarian fillets,100,290,18,2.8,0,0,0,4.2,1.5,0,3.45,3.45,0,9,6.1,0.8,18
10,"PACE, Picante Sauce",100,25,0,,0,313,0,0,0,0,0,0,0,6.25,3.1,6.25,0
11,"Goji berries, dried",100,349,0.4,,0,26822,0,0,0,48.4,0,0,0,77.06,13,45.61,0.39
12,"Mango nectar, canned",100,51,0.1,,0,692,35,0,0.015,15.2,0.21,0.21,0.8,13.12,0.3,12.45,0.06
13,"Crackers, rusk toast",100,407,7.2,1.4,78,41,12,0.18,0.047,0,0,0,0,72.3,0,0,7.2
14,"Chicken, boiled, feet",100,215,15,3.9,84,100,30,0.47,0.01,0,0.27,0.27,0.2,0.2,0,0,14.6
15,"Quail, raw, meat only",100,134,4.5,1.3,70,57,17,0.47,0.53,7.2,0,0,0,0,0,0,4.53
16,"Pie, lemon, fried pies",100,316,16,2.5,0,32,2,0.08,0.03,0,0,0,0,42.6,2.6,0,16.1
17,"Peppers, raw, jalapeno",100,29,0.4,0.1,0,1078,54,0,0.419,118.6,3.58,3.58,18.5,6.5,2.8,4.12,0.37
18,"Winged bean tuber, raw",100,148,0.9,0.2,0,0,0,0,0.075,0,0,0,0,28.1,0,0,0.9
19,"Salami, turkey, cooked",100,172,9.2,2.8,76,6,2,0.99,0.427,0,0.24,0.24,1.3,1.55,0.1,1.12,9.21
20,"Grapes, raw, muscadine",100,57,0.5,,0,67,3,0,0,6.5,0,0,0,13.93,3.9,0,0.47
21,"Nuts, raw, ginkgo nuts",100,182,1.7,0.3,0,558,28,0,0.328,15,0,0,0,37.6,0,0,1.68
22,"Spices, ground, savory",100,272,5.9,3.3,0,5130,257,0,1.81,50,0,0,0,68.73,45.7,0,5.91
23,"Candies, sesame crunch",100,516,33,4.7,0,6,0,0,0.491,0,0.16,0.16,0,50.3,7.7,31.17,33.3
24,"Cheese, low fat, cream",100,201,15,9.1,54,552,161,0.92,0.045,0,0.27,0.27,1.1,8.13,0,5.82,15.28
25,"PACE, Green Taco Sauce",100,25,0,,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0
26,"Syrup, Canadian, maple",100,270,0,,0,0,0,0,0,0,0,0,0,67.38,0,59.92,0
27,"Ostrich, raw, top loin",100,119,3,1.2,75,0,0,4.94,0.509,0,0.2,0.2,0,0,0,0,2.95
28,"Chewing gum, sugarless",100,268,0.4,0.1,0,0,0,0,0,0,0,0,0,94.8,2.4,0,0.4
29,"Nuts, dried, pine nuts",100,673,68,4.9,0,29,1,0,0.094,0.8,9.33,9.33,53.9,13.08,3.7,3.59,68.37
30,"Pasta, unenriched, dry",100,371,1.5,0.3,0,0,0,0,0.142,0,0.11,0.11,0.1,74.67,3.2,2.67,1.51
31,"McDONALD'S, Side Salad",100,20,0.2,,0,2850,0,0,0,15.7,0,0,0,4.3,1.6,2.24,0.19
32,"Cookies, Marie biscuit",100,406,11,5.3,0,3,1,0.19,0.074,0,0.45,0.45,3.8,70.54,3.5,21.16,10.58
33,"Broccoli, raw, chinese",100,30,0.8,0.1,0,1720,86,0,0.074,29.6,0.5,0.5,89.1,4.67,2.6,0.88,0.76
34,"McDONALD'S, Hash Brown",100,271,16,2.3,0,2,0,0,0.18,5.6,2.14,2.14,0,28.56,2.8,0.54,16.3
35,"Agave, raw (Southwest)",100,68,0.2,,0,37,2,0,0.055,4,0.23,0.23,5.3,16.23,6.6,2.58,0.15
36,"Emu, raw, outside drum",100,103,0.5,0.1,78,0,0,6.92,0.676,0,0.17,0.17,0,0,0,0,0.48
37,"Nuts, dried, beechnuts",100,576,50,5.7,0,0,0,0,0.684,15.5,0,0,0,33.5,0,0,50
38,"Currants, dried, zante",100,283,0.3,,0,73,4,0,0.296,4.7,0.11,0.11,3.3,74.08,6.8,67.28,0.27
39,"Lentils, raw, sprouted",100,106,0.6,0.1,0,45,2,0,0.19,16.5,0,0,0,22.14,0,0,0.55
40,"Gravy, mix, dry, onion",100,322,3,1.9,2,0,0,0.7,0.1,7,0,0,0,67.64,6,0,3
41,"Pie, fruit, fried pies",100,316,16,2.5,0,27,5,0.08,0.03,1.3,1.72,1.72,4.1,42.6,2.6,21.4,16.1
42,"Snacks, cakes, popcorn",100,384,3.1,0.5,0,72,4,0,0.181,0,0.29,0.29,1.1,80.1,2.9,0.72,3.1
43,"Snack, Mixed Berry Bar",100,383,11,3.8,0,97,27,0.51,0.116,0.6,0.29,0.29,1.6,58.84,7.9,26.32,10.53
44,"Fish, raw, sheepshead",100,108,2.4,0.6,50,100,30,2,0.3,0,0,0,0,0,0,0,2.41
45,"Babyfood, pear, juice",100,47,0,,0,0,0,0,0.01,33.8,0.09,0.09,3.4,11.86,0.1,7.28,0
46,"Brussels sprouts, raw",100,43,0.3,0.1,0,754,38,0,0.219,85,0.88,0.88,177,8.95,3.8,2.2,0.3
47,"Broccoli raab, cooked",100,33,0.5,0.1,0,4533,227,0,0.22,37,2.53,2.53,256,3.12,2.8,0.62,0.52
48,"Butter oil, anhydrous",100,876,99,62,256,3069,840,0.01,0.001,0,2.8,2.8,8.6,0,0,0,99.48
49,"Chicory, raw, witloof",100,17,0.1,,0,29,1,0,0.042,2.8,0,0,0,4,3.1,0,0.1
50,"KEEBLER, Waffle Cones",100,424,5.3,0.9,0,0,0,0,0.03,0,0.05,0.05,0,87.7,1.8,31.6,5.3
51,"KEEBLER, Waffle Bowls",100,424,5.3,0.9,0,0,0,0,0.03,0,0.05,0.05,0,87.7,1.8,31.6,5.3
52,"Broccoli, raw, leaves",100,28,0.4,0.1,0,16000,0,0,0.159,93.2,0,0,0,5.06,2.3,1.48,0.35
